omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
200345,Europatipset,1X112XXXX212X,79444,2052,168,47
200344,Stryktipset,X1222X21XX121,100998,1847,138,36
200344,Europatipset,21212X1X1X121,58472,659,54,16
200343,Stryktipset,22111X1211XX2,285753,2824,159,35
200343,Europatipset,X2111XX122211,3999,121,13,0
200342,Stryktipset,X11X121111X11,271370,2739,224,60
200342,Europatipset,11X111X12X12X,56415,1286,103,27
200341,Stryktipset,22X21112X1121,11292,220,19,0
200341,Europatipset,1X11X12221X2X,39138,1579,140,38
200340,Stryktipset,1111211X22111,21055,623,61,20
200340,Europatipset,2X111222X1222,47678,534,49,16
200339,Stryktipset,2112X11XXX121,122306,873,71,21
200339,Europatipset,111XX11111112,12517,122,13,0
200338,Stryktipset,2X1221XX21X11,10000000,23673,1340,312
200338,Europatipset,X2XX12X111X11,10000000,16064,1100,246
200337,Stryktipset,X122X11112112,47396,271,22,0
200337,Europatipset,221121X111XXX,1088,46,0,0
200336,Stryktipset,121112XX2112X,1462,49,0,0
200336,Europatipset,2X2XX11222X1X,324963,6820,364,81
200335,Stryktipset,X2221XXX21212,1138313,22052,1505,297
200335,Europatipset,X11212XX12112,11852,381,35,11
200334,Stryktipset,1X12X1X21X121,79112,1283,117,35
200334,Europatipset,1111211121X1X,32159,493,46,0
200333,Stryktipset,11X11X21112XX,25114,601,56,18
200333,Europatipset,2X12X2X1121X2,10000000,11397,612,143
200332,Stryktipset,11X21X2111211,127132,1924,184,57
200332,Europatipset,12221XXX11121,177475,13967,2075,534
200331,Stryktipset,2221122121122,88010,1770,144,42
200331,Europatipset,X1X2XX1121121,91337,2875,178,43
200330,Stryktipset,21X21221XX122,1241085,18298,1739,390
200330,Europatipset,X2211111X21XX,194860,7217,585,136
200329,Stryktipset,12XX2X2212212,2405199,12639,665,134
200329,Europatipset,2X1111112X222,23358,429,36,11
200328,Stryktipset,XX212111XX211,1225743,12349,1030,246
200328,Europatipset,221211121111X,433833,1721,133,33
200327,Stryktipset,2121X111X12X1,36698,516,53,18
200327,Europatipset,111122112211X,10000000,2161,120,28
200326,Stryktipset,1211X222XX122,16429,311,29,11
200326,Europatipset,21X11111212X1,589,27,0,0
200325,Stryktipset,21XX11X22221X,2958162,13155,826,178
200325,Europatipset,X2111XXX21XX2,422252,5614,492,126
200324,Stryktipset,2X1X22XX21121,10000000,18490,1125,265
200324,Europatipset,XX22211222X11,10000000,41833,2827,677
200323,Stryktipset,21X112X22X1X1,31390,217,20,0
200323,Europatipset,XX11112X11221,64116,484,42,13
200322,Stryktipset,X1222122X112X,134638,1357,85,23
200322,Europatipset,111X111X12222,15920,134,12,0
200321,Stryktipset,121122X1X2112,167098,1978,138,35
200321,Europatipset,1X1122X221111,355371,3196,208,52
200320,Stryktipset,11X2112112XXX,19222,456,45,15
200320,Europatipset,1211X21X1X121,16796,472,41,13
200319,Stryktipset,22X1222X11121,15767,641,56,16
200319,Europatipset,XX12211XX1X21,124140,1724,135,39
200318,Stryktipset,21121X1X111X2,262596,9854,871,213
200318,Europatipset,XX1212XXX1XX2,441177,1009,78,25
200317,Stryktipset,2X12211X21111,72661,1230,84,22
200317,Europatipset,X1XXX1X1X2X11,2838,111,16,0
200316,Stryktipset,2111221121X11,64252,1659,148,43
200316,Europatipset,12211111122X1,176261,672,36,10
200315,Stryktipset,1121XXX1X2212,17117,380,35,12
200315,Europatipset,X1X1XX2111212,10000000,35334,1995,369
200314,Stryktipset,XX21122XX111X,355578,3044,240,62
200314,Europatipset,X11X11X111112,4520,137,17,0
200313,Stryktipset,X1121XX121211,20726,311,26,0
200313,Europatipset,1X112X11XX212,77070,1415,110,30
200312,Stryktipset,11XX1X2211112,18168,398,36,12
200312,Europatipset,111111X1X21XX,76932,2056,168,49
200311,Stryktipset,1212X2X2X1121,1523188,13228,1002,233
200311,Europatipset,1121111XX11XX,43977,868,73,23
200310,Stryktipset,XX1X12X111X11,575688,6977,585,152
200310,Europatipset,X2XXX11XX2XX1,152777,2312,187,54
200309,Stryktipset,1X111121X2122,10462,258,26,0
200309,Europatipset,1XX1112X21221,787319,11528,673,141
200308,Stryktipset,2222121121X11,201307,2924,178,38
200308,Europatipset,21X111111XX11,153285,2789,230,64
200307,Stryktipset,1212X211X212X,135460,1146,95,28
200307,Europatipset,X2X1XX11X11X1,44088,903,85,28
200306,Stryktipset,1211111X21X11,9857,159,17,0
200306,Europatipset,211XXXX1X21X1,768850,7118,489,120
200305,Stryktipset,21XX122112121,118837,1837,121,31
200305,Europatipset,21XX1X11X1X22,563827,3956,278,70
200304,Stryktipset,2XX111121X212,491879,14404,999,232
200304,Europatipset,11211XX2XX122,10000000,67357,2534,369
200303,Stryktipset,X11X2XX1XX122,589055,15200,973,212
200303,Europatipset,21111XX1111X1,29022,752,77,25
200302,Stryktipset,X12XXX1XX2121,49961,573,58,21
200302,Europatipset,1212XXXX1X2XX,656449,8794,506,112
200301,Stryktipset,112X1111X2X11,19724,267,23,0
200252,Stryktipset,111X111X22XX1,218444,1571,134,38
200251,Stryktipset,1111XXXX1X111,1134,47,0,0
200251,Europatipset,2XX21X1111X2X,374958,4540,300,71
