omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
201319,Europatipset,X2122222X2X11,106728,1324,67,22
201319,Europatipset,11211X12X1111,19484,410,20,0
201318,Europatipset,12X12X111111X,33410,417,22,0
201318,Europatipset,1111111X21XXX,29740,259,0,0
201317,Europatipset,112111211X121,368872,3457,139,38
201317,Europatipset,X121211X2XX12,25146,616,31,0
201316,Europatipset,21X2X12X22XX1,434553,5029,207,57
201316,Europatipset,XXX2X11221211,16606,448,25,0
201315,Europatipset,11X2211211X22,10000000,47273,1196,227
201315,Europatipset,221X2221111X2,29272,414,22,0
201314,Europatipset,X11X2X2XX1222,366244,7261,343,92
201314,Europatipset,11XX1XX21X1XX,63887,1234,55,18
201313,Europatipset,X12XX1X221XX1,13708,465,27,0
201313,Europatipset,2XX21222X2212,1246134,8088,261,62
201312,Europatipset,X222X212X2XX2,869212,71399,1693,316
201312,Europatipset,1X21X22XX1211,329355,6312,260,66
201311,Europatipset,121XX11X2X22X,912545,11973,542,152
201311,Europatipset,2112121X1XX21,108377,2002,74,21
201310,Europatipset,21X1XX1XX121X,997647,12195,467,116
201310,Europatipset,XX122X1122XX2,10000000,111700,2723,551
201309,Europatipset,21112122121X2,253773,3601,160,43
201309,Europatipset,1XXX121121211,12776,342,18,0
201308,Europatipset,1X121X2212121,419141,4394,184,49
201308,Europatipset,2111112X1121X,38113,821,37,0
201307,Europatipset,XX12X111XX2X2,10000000,23008,502,99
201307,Europatipset,1112111212X12,100675,892,35,0
201306,Europatipset,212XX12111211,74644,1291,54,16
201306,Europatipset,11212X11X121X,378652,8779,329,73
201305,Europatipset,XX111XX111121,53509,753,42,15
201305,Europatipset,X211X11122121,108484,2543,107,29
201304,Europatipset,1XX2212XXX1X1,69355,1800,82,24
201304,Europatipset,1112121X22111,10000000,16826,499,103
201303,Europatipset,X221X1X22XX22,10000000,254893,2891,514
201303,Europatipset,1X121X2XX1221,140193,2097,94,28
201302,Europatipset,1111122XX12X1,252788,4233,145,34
201302,Europatipset,12X2X1X111X11,125770,2204,93,27
201301,Europatipset,1X11221X11212,14192,393,22,0
201301,Europatipset,X21X1121121X1,2662180,13326,151,29
201252,Europatipset,11X122X111XX1,49967,658,28,0
201252,Europatipset,222X1X11X1112,79271,1305,68,22
201251,Europatipset,221111XX2111X,67627,1054,44,0
201251,Europatipset,1X11122XXX12X,180363,2962,118,33
201250,Europatipset,11212211XXX21,62512,654,30,0
201250,Europatipset,1X121211X12X1,446677,4960,151,34
201249,Europatipset,1212X1222111X,15526,455,26,0
201249,Europatipset,2121121222111,1994,57,0,0
201248,Europatipset,XX1X111222112,227255,3128,132,37
201248,Europatipset,12XX1X211122X,394026,11188,310,69
201247,Europatipset,211122X22XX11,6621,157,0,0
201247,Europatipset,X1111XX121112,76353,862,41,0
201246,Europatipset,1X221X22X222X,1021978,41974,1622,347
201246,Europatipset,21111XX121112,51656,1201,51,15
201245,Europatipset,111111221XX21,261740,1454,55,16
201245,Europatipset,X212121122XX2,911660,11520,476,126
201244,Europatipset,X211X12X11X1X,10000000,37427,1087,265
201244,Europatipset,1X2XX1X122X11,10000000,31163,903,211
201243,Europatipset,21221111XX221,212489,3878,149,40
201243,Europatipset,2X12212212211,49024,1175,49,15
201242,Europatipset,X111X2XX21222,1475425,13466,393,88
